,data,label
0,"[795, 333, 232, 176, 49, 3040, 736, 1863, 0, 667, 110, 62, 4551]",3
1,"[668, 24, 3041, 3042, 9, 139, 1532, 205]",3
2,"[668, 24, 3041, 3042, 125, 139, 1532, 205]",3
3,"[2, 24, 62, 425, 4552, 0, 3043, 126, 4553]",3
4,"[4554, 28, 796, 0, 4555, 39, 1148, 4556]",3
5,"[466, 737, 12, 3, 1533]",3
6,"[116, 1864, 0, 1865, 883]",3
7,"[20, 614, 25, 241, 84, 8, 0, 1009]",3
8,"[4557, 1866, 0, 1534, 1149]",3
9,"[1320, 2316, 0, 1010, 883]",3
10,"[2, 2317, 1150, 0, 282, 233, 0, 3044]",3
11,"[2, 4558, 3045, 3046]",3
12,"[20, 615, 84, 8, 0, 523]",3
13,"[2, 1011, 1864, 0, 669, 883]",3
14,"[2, 1011, 1864, 0, 797]",3
15,"[20, 183, 0, 4559, 59, 3047]",3
16,"[20, 183, 0, 1321]",3
17,"[36, 884, 0, 4560, 2318]",3
18,"[36, 884, 0, 4561]",0
19,"[2, 885, 135, 234, 59, 3, 4562]",3
20,"[2, 885, 135, 467]",0
21,"[43, 1867, 1322, 2319]",3
22,"[43, 1867, 1012]",0
23,"[43, 1867, 195, 2319]",0
24,"[195, 614, 95, 59, 3, 2320]",3
25,"[195, 614, 150]",0
26,"[195, 614, 234, 59, 3, 2320]",0
27,"[20, 4563, 0, 1535, 59, 0, 1868]",3
28,"[43, 321, 4564, 1869, 34, 4565, 1, 4566]",3
29,"[116, 4567, 0, 4568, 1, 524, 4569]",3
30,"[7, 525, 4570, 670, 0, 523]",3
31,"[20, 4571, 84, 0, 616]",3
32,"[20, 614, 84, 0, 616]",3
33,"[20, 2321, 15, 0, 1151]",3
34,"[2, 4572, 3048, 220, 0, 1870, 59, 0, 1013, 4573]",3
35,"[20, 96, 233, 0, 1151]",3
36,"[20, 884, 34, 0, 4574]",3
37,"[54, 1010, 4575, 3049, 217]",3
38,"[36, 99, 45, 886]",3
39,"[36, 99, 45, 500]",3
40,"[36, 1323, 45, 1, 361, 738, 28, 1324, 77]",0
41,"[36, 1323, 45, 1, 361, 258, 28, 1324, 77]",0
42,"[36, 99, 45, 1, 1536]",0
43,"[36, 99, 45, 59, 3, 4576]",3
44,"[2, 4577, 1871, 220, 0, 4578]",3
45,"[2, 4579, 1871, 223, 0, 1014]",3
46,"[2, 4580, 3050, 2322, 0, 345]",3
47,"[2, 4581, 4582, 1325, 4583, 60, 0, 2323]",3
48,"[2, 235, 4584, 223, 0, 1014]",0
49,"[2, 206, 2324, 84, 8, 0, 523]",0
50,"[2, 206, 2324, 524, 241, 84, 8, 0, 523]",3
51,"[20, 3050, 25, 241, 2322, 0, 345]",3
52,"[2, 1152, 1537, 59, 0, 1868]",3
53,"[20, 562, 223, 0, 1014]",3
54,"[2, 1152, 123, 59, 0, 1872, 28, 4585]",0
55,"[2, 1152, 123, 59, 0, 1872, 9, 4586, 3051]",3
56,"[2, 563, 6, 242, 9, 1873]",3
57,"[2, 563, 6, 242, 9, 1538]",0
58,"[54, 563, 6, 128, 9, 3052, 37, 5, 405]",3
59,"[54, 563, 112, 128, 9, 3052, 37, 5, 405]",3
60,"[54, 563, 112, 128, 9, 3053]",3
61,"[54, 563, 6, 128, 9, 3053]",0
62,"[54, 563, 112, 37, 5, 405]",0
63,"[54, 563, 6, 37, 5, 405]",0
64,"[20, 1539, 59, 0, 1153]",3
65,"[20, 1539, 59, 0, 2325, 16, 887]",0
66,"[20, 380, 195, 233, 0, 1874, 16, 887]",0
67,"[20, 1539, 223, 0, 1540, 16, 887]",3
68,"[20, 1539, 223, 0, 1875]",3
69,"[20, 380, 195, 1015, 0, 3054, 16, 887]",3
70,"[20, 380, 195, 1015, 0, 4587]",3
71,"[2, 1535, 4588, 223, 0, 739]",3
72,"[2, 1154, 2326, 163, 0, 2327]",3
73,"[2, 3055, 2326, 0, 1154, 163, 0, 2327]",3
74,"[2, 3055, 283, 0, 1154, 2326, 163, 0, 2327]",3
75,"[236, 309, 95, 1876]",3
76,"[236, 112, 740, 28, 4589, 25, 2328]",3
77,"[20, 1541, 95, 1, 334]",3
78,"[20, 1541, 295, 1, 334]",0
79,"[20, 3056, 95, 220, 0, 2329]",3
80,"[20, 196, 95, 1, 334]",3
81,"[20, 3056, 0, 3057, 220, 0, 2329]",3
82,"[20, 196, 295, 1, 334]",3
83,"[2, 4590, 1871, 617, 1, 0, 671]",0
84,"[249, 0, 4591, 4592, 26, 100, 1542, 617, 4593]",3
85,"[68, 1867, 2319]",0
86,"[4594, 1541, 1, 334]",0
87,"[2, 3058, 2321, 1, 4595]",3
88,"[32, 614, 1326, 9, 62, 76, 57, 4596, 4597, 4598]",3
89,"[7, 614, 4599, 4600, 25, 3059, 9, 4601, 207, 25, 4602]",3
90,"[7, 614, 95, 1326, 15, 0, 2330, 8, 0, 1877, 501, 14, 9, 20, 33, 144, 2331]",3
91,"[672, 1878, 95, 1879]",3
92,"[68, 614, 335, 1326, 40, 0, 4603, 4604, 15, 42, 1155]",3
93,"[2, 4605, 1880, 406, 0, 3060]",3
94,"[2, 3061, 1016, 406, 0, 3060]",3
95,"[2, 107, 1880, 617, 1881]",0
96,"[20, 1880, 95, 1881]",3
97,"[4606, 1880, 42, 4607, 1881]",3
98,"[2, 233, 4608, 4609, 4610, 3062, 617, 1881]",3
99,"[2, 24, 12, 362, 0, 468, 12, 798]",3
100,"[249, 12, 85, 888, 12, 146, 2332, 2333]",3
101,"[284, 12, 85, 888, 12, 146, 2332, 2333]",3
102,"[1017, 12, 85, 888, 12, 146, 2332, 2333]",3
103,"[2, 310, 12, 4611, 0, 1543, 12, 1156]",0
104,"[2, 799, 295, 1544, 0, 24, 116, 1327, 151]",3
105,"[2, 24, 5, 12, 362, 0, 468, 5, 12, 798]",3
106,"[2, 799, 5, 295, 1544, 0, 24, 5, 116, 1327, 151]",3
107,"[4, 78, 5, 0, 24, 12, 362, 0, 468, 12, 798]",3
108,"[139, 30, 1882, 28, 0, 889, 5, 0, 24, 12, 362, 0, 468, 12, 798]",3
109,"[35, 6, 363, 5, 0, 24, 12, 362, 0, 468, 12, 798]",3
110,"[35, 6, 30, 2334, 1545, 90, 0, 24, 12, 362, 0, 468, 12, 798]",3
111,"[4, 146, 1, 2335, 1883, 890, 0, 24, 12, 362, 0, 468, 12, 798]",3
112,"[4, 1884, 5, 0, 24, 7, 1018, 0, 24, 14, 4612]",3
113,"[4, 1884, 5, 0, 24, 7, 362, 0, 24, 14, 4613]",0
114,"[4, 1884, 5, 7, 266, 888, 0, 24, 14, 1546]",3
115,"[4, 1884, 5, 7, 2336, 888, 0, 24, 14, 1156]",0
116,"[108, 212, 3063, 0, 24, 62, 362, 145, 322]",3
117,"[108, 212, 3063, 0, 24, 62, 362, 145, 4614]",0
118,"[2, 800, 26, 29, 1885, 208, 87, 381, 3, 741, 5, 564, 11, 0, 742]",0
119,"[2, 800, 26, 29, 1885, 208, 87, 381, 3, 741, 564, 11, 0, 742]",3
120,"[2, 800, 26, 1328, 208, 87, 381, 5, 50, 12, 3064]",0
121,"[2, 800, 26, 1328, 208, 87, 381, 50, 12, 3064]",3
122,"[2, 800, 26, 1328, 208, 87, 381, 3, 741, 50, 12, 197, 11, 0, 742]",3
123,"[2, 800, 26, 1328, 208, 87, 381, 3, 741, 5, 50, 12, 197, 11, 0, 742]",0
124,"[284, 26, 1547, 1886, 208, 87, 381, 3, 741, 564, 11, 0, 742]",3
125,"[1017, 26, 1547, 1886, 208, 87, 381, 3, 741, 564, 11, 0, 742]",3
126,"[1017, 26, 1547, 1886, 208, 87, 381, 3, 741, 5, 564, 11, 0, 742]",0
127,"[284, 26, 1547, 1886, 208, 87, 381, 3, 741, 5, 564, 11, 0, 742]",0
128,"[124, 87, 800, 29, 26, 1885, 0, 381, 3, 741, 12, 197, 11, 0, 742]",3
129,"[124, 87, 800, 29, 26, 1885, 154, 12, 197, 3, 381, 741, 11, 0, 742]",3
130,"[2, 24, 7, 1018, 0, 4615, 565, 88, 1329, 1330, 71, 102]",0
131,"[2, 24, 178, 362, 0, 24, 7, 1548, 25, 743, 1329, 1330, 71, 618, 1549]",0
132,"[284, 7, 243, 888, 565, 88, 1329, 1330, 1887, 1549]",3
133,"[1017, 7, 243, 888, 565, 88, 1329, 1330, 1887, 1549]",3
134,"[2337, 88, 1329, 1330, 1887, 0, 24, 7, 1018, 1549]",3
135,"[526, 565, 88, 1329, 1330, 1887, 0, 24, 7, 1018, 1549]",3
136,"[4, 63, 439, 891, 0, 24, 45, 4616, 0, 1331, 45, 3065]",0
137,"[20, 63, 439, 891, 1148, 3066]",3
138,"[20, 63, 439, 891, 0, 24, 14, 1018, 0, 1331, 3065]",0
139,"[116, 63, 439, 891, 407, 1148, 4617, 0, 24, 14, 1546]",3
140,"[35, 6, 440, 0, 24, 12, 362, 0, 24, 892, 1, 296]",0
141,"[35, 6, 440, 16, 0, 24, 12, 362, 0, 24, 892, 1, 296]",0
142,"[35, 6, 440, 0, 24, 12, 1, 362, 0, 24, 892, 1, 296]",0
143,"[35, 6, 440, 0, 24, 12, 362, 0, 24, 892, 12, 1, 296]",0
144,"[35, 6, 440, 0, 24, 12, 362, 0, 24, 892, 16, 12, 1, 296]",0
145,"[35, 6, 440, 16, 0, 24, 12, 1, 362, 0, 24, 892, 1, 296]",0
146,"[35, 6, 440, 16, 0, 24, 12, 1, 362, 0, 24, 892, 16, 12, 1, 296]",0
147,"[35, 6, 440, 0, 24, 12, 1, 362, 0, 24, 892, 16, 12, 1, 296]",0
148,"[35, 6, 440, 16, 0, 24, 12, 362, 0, 24, 892, 12, 1, 296]",0
149,"[35, 6, 440, 16, 12, 1, 13, 24, 3067, 0, 24, 12, 1156]",3
150,"[35, 6, 440, 1, 13, 24, 3067, 0, 24, 12, 1156]",3
151,"[4, 63, 439, 891, 673, 18, 3068, 0, 566]",0
152,"[4, 63, 439, 891, 19, 3, 4618, 18, 3069, 0, 4619]",0
153,"[4, 63, 439, 891, 90, 14, 243, 888, 45, 1148, 3066]",0
154,"[35, 6, 30, 2334, 363, 4620, 18, 1019, 1, 0, 1020, 1888, 51, 259, 1550]",0
155,"[35, 6, 30, 2334, 363, 3070, 18, 1019, 1, 0, 1020, 1888, 51, 259, 1550]",0
156,"[18, 1019, 1, 0, 1020, 4621, 9, 51, 259, 1550]",3
157,"[249, 18, 1019, 1, 0, 1020, 1888, 51, 259, 1550]",3
158,"[284, 18, 1019, 1, 0, 1020, 1888, 51, 259, 1550]",3
159,"[18, 259, 2338, 90, 51, 1019, 1, 0, 1020, 2339]",3
160,"[18, 259, 2338, 154, 51, 1019, 1, 0, 1020, 2339]",3
161,"[2, 24, 51, 285, 27, 4622, 0, 799, 18, 2340]",3
162,"[2, 24, 213, 18, 285, 3071, 51, 112, 799, 9, 4623]",0
163,"[18, 259, 2338, 9, 51, 1019, 1, 0, 1020, 2339]",3
164,"[2, 1157, 0, 2341, 2342, 0, 2343, 25, 1158, 1332]",3
165,"[2, 1157, 0, 4624, 0, 2343, 25, 3072]",3
166,"[469, 1158, 39, 1889, 0, 1157, 0, 3073]",3
167,"[469, 1158, 39, 1889, 0, 1157, 0, 2341, 1332]",3
168,"[469, 1158, 1889, 0, 1157, 0, 3073]",0
169,"[469, 1158, 1889, 0, 1157, 0, 2341, 1332]",0
170,"[2, 24, 1890, 116, 893, 0, 468, 894, 12, 75, 266, 1, 77]",3
171,"[2, 24, 1890, 1891, 0, 468, 894, 12, 75, 266, 1, 77]",0
172,"[2, 24, 116, 6, 1892, 0, 468, 12, 75, 266, 894, 1, 77]",3
173,"[2, 24, 1890, 1891, 0, 468, 12, 75, 266, 894, 1, 77]",0
174,"[469, 1158, 39, 244, 2343, 37, 4625]",3
175,"[7, 10, 3074, 24, 1890, 37, 116, 1159]",3
176,"[108, 75, 244, 1893, 88, 1551, 129, 744, 208, 1552, 0, 1894, 127, 296]",3
177,"[108, 75, 244, 1893, 88, 1551, 129, 744, 208, 1552, 0, 2344]",3
178,"[4, 145, 801, 1, 1893, 0, 1551, 129, 744, 208, 1552, 49, 1894, 267]",3
179,"[4, 145, 801, 1, 1893, 0, 1551, 129, 744, 208, 1552, 49, 2344]",0
180,"[139, 184, 2345, 4626, 0, 4627]",3
181,"[139, 184, 2345, 3075, 5, 4628, 127, 296]",3
182,"[139, 184, 2345, 3075, 5, 4629]",0
183,"[2, 24, 4630, 18, 1021, 5, 20, 29, 3076, 116, 1, 3077, 0, 468, 4, 82, 151]",3
184,"[2, 24, 1022, 18, 209, 3, 38, 5, 243, 0, 3078, 51, 802]",0
185,"[2, 1331, 14, 1160, 1, 3, 346, 154, 14, 259, 0, 24, 14, 1546]",0
186,"[2, 1331, 5, 5, 14, 259, 895, 2346, 0, 24, 14, 1546]",0
187,"[2, 24, 147, 4, 426, 1, 190, 14, 17, 4631, 0, 24, 14, 3079]",0
188,"[2, 24, 89, 4, 426, 142, 14, 17, 179, 1, 0, 24, 14, 3079]",0
189,"[2, 24, 567, 14, 3080, 0, 382, 0, 3081, 1553, 296]",3
190,"[2, 24, 567, 14, 209, 3, 38, 5, 2347, 0, 382, 0, 3081, 1553, 296]",0
191,"[2, 24, 3082, 7, 4632, 0, 799, 14, 802]",3
192,"[2, 24, 7, 1895, 4633, 0, 799, 14, 802]",0
