,data,label
0,"[227, 274, 258, 28, 166, 33, 694, 8, 695, 1282, 1, 696, 82, 32, 3537, 0]",3
1,"[82, 29, 2613, 2614, 11, 4, 147, 1472, 54, 0]",3
2,"[82, 29, 2613, 2614, 137, 4, 147, 1472, 54, 0]",3
3,"[1, 29, 32, 445, 3538, 8, 1, 1283, 34, 217, 0]",3
4,"[406, 40, 406, 1, 3539, 51, 893, 3540, 0]",3
5,"[4, 173, 697, 15, 3, 425, 0]",3
6,"[110, 1713, 1, 991, 698, 0]",3
7,"[22, 606, 31, 247, 80, 9, 1, 894, 0]",3
8,"[32, 1138, 607, 1, 293, 384, 0]",3
9,"[652, 2081, 1, 895, 698, 0]",3
10,"[1, 1714, 699, 1, 280, 204, 1, 2615, 0]",3
11,"[1, 2082, 2616, 2083, 0]",3
12,"[22, 608, 80, 9, 1, 211, 0]",3
13,"[1, 750, 1713, 1, 385, 698, 0]",3
14,"[1, 750, 1713, 1, 385, 0]",3
15,"[22, 170, 1, 1139, 65, 2084, 0]",3
16,"[22, 170, 1, 1139, 0]",3
17,"[34, 700, 1, 2617, 896, 0]",3
18,"[34, 700, 1, 2617, 0]",0
19,"[1, 533, 133, 156, 65, 3, 3541, 0]",3
20,"[1, 533, 133, 156, 0]",0
21,"[32, 1715, 609, 2085, 0]",3
22,"[32, 1715, 609, 0]",0
23,"[32, 1715, 212, 2085, 0]",0
24,"[212, 606, 62, 65, 3, 610, 0]",3
25,"[212, 606, 62, 0]",0
26,"[212, 606, 156, 65, 3, 610, 0]",0
27,"[22, 3542, 1, 653, 65, 1, 992, 0]",3
28,"[32, 328, 3543, 1140, 46, 3544, 2, 3545, 0]",3
29,"[110, 3546, 1, 3547, 2, 570, 3548, 0]",3
30,"[7, 386, 3549, 701, 1, 211, 0]",3
31,"[22, 3550, 80, 1, 337, 0]",3
32,"[22, 606, 80, 1, 337, 0]",3
33,"[22, 2086, 21, 1, 751, 0]",3
34,"[1, 3551, 2087, 218, 1, 751, 65, 1, 752, 3552, 0]",3
35,"[22, 104, 204, 1, 751, 0]",3
36,"[22, 700, 46, 1, 3553, 0]",3
37,"[33, 895, 3554, 698, 149, 0]",3
38,"[34, 108, 35, 178, 0]",3
39,"[34, 108, 35, 304, 0]",3
40,"[34, 1284, 35, 2, 365, 304, 40, 1285, 35, 0]",0
41,"[34, 1284, 35, 2, 365, 178, 40, 1285, 35, 0]",0
42,"[34, 108, 35, 2, 1473, 0]",0
43,"[34, 108, 35, 65, 3, 2618, 0]",3
44,"[1, 3555, 1474, 218, 1, 3556, 0]",3
45,"[1, 2088, 1474, 213, 1, 653, 0]",3
46,"[1, 3557, 2619, 2089, 1, 179, 0]",3
